UF;Protocolo;Descrição;Projeto;Ação;Início do Atendimento;Fim do Atendimento;Instrumento
SC;SC0072983;REALIZADO VISITA A AUTO ELÉTRICA PICINATTO PARA INFORMAR QUE O MUNICÍPIO DISPÕE DE CONSULTORIA TÉCNICA PELA SALA DO EMPREENDEDOR AFIM DE FOMENTAR E FORTALECER O COMÉRCIO LOCAL.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 10:59;20/05/2020 11:16;Informação Presencial
SC;SC0073005;"• Plantão Fiscal – Emissão Nota Avulsa Autônomo
Emissão de nota avulsa de serviço para profissional autônomo";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 11:13;20/05/2020 11:14;Informação Presencial
SC;SC0073007;REALIZADO VISITA A AGROPECUÁRIA MAGUILA AFIM DE INFORMAR QUE O MUNICÍPIO ESTÁ OFERECENDO ATRAVÉS DA SALA DO EMPREENDEDOR CONSULTORIA EMPRESARIAL AFIM DE FOMENTAR E FORTALECER O COMÉRCIO LOCAL.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 11:16;20/05/2020 11:27;Informação Presencial
SC;SC0073026;"• Preenchimento da FAC e impressão de documentos para cadastro 
Foram impressos para o contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado o cadastro junto ao município, bem como a impressão do Alvará de Funcionamento. Além da entrega do alvará contribuinte foi informado sobre a necessidade de realizar a declaração anual até maio do ano corrente, da necessidade de emissão de guias no portal do EI (DAS) e que deveria retornar anualmente, no início do ano, na Prefeitura para verificar se a lei de isenção das taxas para EI continua em vigor.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 11:26;20/05/2020 11:28;Orientação Técnica Presencial
SC;SC0073027;REALIZADO VISITA PARA A EMPRESA AGROPECUÁRIA IRMÃOS PIZZI PARA INFORMAR DA POSSIBILIDADE DE RECEBER CONSULTORIA GRATUITA PELA SALA DO EMPREENDEDOR, OBJETIVO DO MUNICÍPIO É FORTALECER O COMÉRCIO LOCAL;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 11:27;20/05/2020 11:44;Informação Presencial
SC;SC0073056;REALIZADO VISITA A EMPRESA CHAPEAÇÃO MARCON, INOFORMOU- SE AO PROPRIETÁRIO QUE O MUNICIPIO  EM PARCERIA COM O SEBRAE ATRAVES DA SALA DO EMPREENDEDOR, ESTÁ OFERTANDO GRATUITAMENTE CONSULTORIA EMPRESARIAL, COM OBJETIVO DE FORTALECER E FOMENTAR O COMÉRCIO LOCAL.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 11:55;20/05/2020 13:20;Informação Presencial
SC;SC0073057;"• Preenchimento do pedido de Viabilidade - Abertura
Além de serem prestados os esclarecimentos sobre os limites/exigências para abertura e as vantagens que possuem os MEI,  foi realizada o protocolo de viabilidade de abertura no sistema REGIN, sendo solicitado ao contribuinte que contato a Sala do Empreendedor em uma semana para verificar seu resultado.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 11:56;20/05/2020 12:00;Orientação Técnica Presencial
SC;SC0073071;"• Preenchimento da FAC e impressão de documentos para alteração.
Foi realizada alteração junto ao Portal do Empreendedor, sendo impressos para a contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado a alteração do cadastro junto ao município, bem como a impressão do Alvará de Funcionamento - Alteração de Atividade";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 12:19;20/05/2020 12:41;Orientação Técnica Presencial
SC;SC0073430;A contribuinte se dirigiu até a Sala do Empreendedor de Braço do Norte/SC para obter orientações sobre Consultoria.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 16:42;20/05/2020 16:53;Orientação Técnica Presencial
SC;SC0073457;O contribuinte se dirigiu até a Sala do Empreendedor para obter informações, orientação sobre consultoria financeira.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 16:58;20/05/2020 17:22;Orientação Técnica Presencial
SC;SC0073542;Emissão DAS vencido 2019;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 08:33;21/05/2020 08:34;Informação Presencial
SC;SC0073547;EMISSÃO DAS EM ATRASO;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 08:43;21/05/2020 08:44;Informação Presencial
SC;SC0073598;"• Preenchimento da FAC e impressão de documentos para cadastro 
Foram impressos para o contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado o cadastro junto ao município, bem como a impressão do Alvará de Funcionamento. Além da entrega do alvará contribuinte foi informado sobre a necessidade de realizar a declaração anual até maio do ano corrente, da necessidade de emissão de guias no portal do EI (DAS) e que deveria retornar anualmente, no início do ano, na Prefeitura para verificar se a lei de isenção das taxas para EI continua em vigor.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 09:33;21/05/2020 09:35;Orientação Técnica Presencial
SC;SC0073619;Entrada ao processo de viabilidade.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 09:50;21/05/2020 09:53;Orientação Técnica Presencial
SC;SC0073639;Atendimento referente a auxilio emergencial;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 10:03;21/05/2020 10:05;Orientação Técnica Presencial
SC;SC0073652;"• Preenchimento da FAC e impressão de documentos para cadastro 
Foram impressos para o contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado o cadastro junto ao município, bem como a impressão do Alvará de Funcionamento. Além da entrega do alvará contribuinte foi informado sobre a necessidade de realizar a declaração anual até maio do ano corrente, da necessidade de emissão de guias no portal do EI (DAS) e que deveria retornar anualmente, no início do ano, na Prefeitura para verificar se a lei de isenção das taxas para EI continua em vigor.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 10:11;21/05/2020 10:14;Orientação Técnica Presencial
SC;SC0073683;"• Preenchimento do pedido de Viabilidade - Abertura
Além de serem prestados os esclarecimentos sobre os limites/exigências para abertura e as vantagens que possuem os MEI,  foi realizada o protocolo de viabilidade de abertura no sistema REGIN, sendo solicitado ao contribuinte que contato a Sala do Empreendedor em uma semana para verificar seu resultado.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 10:36;21/05/2020 10:40;Orientação Técnica Presencial
SC;SC0073798;"• Plantão Fiscal – Emissão Nota Avulsa Autônomo
Emissão de nota avulsa de serviço para profissional autônomo";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 12:20;21/05/2020 12:21;Informação Presencial
SC;SC0073810;"• Preenchimento da FAC e impressão de documentos para alteração.
Foi realizada alteração junto ao Portal do Empreendedor, sendo impressos para a contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado a alteração do cadastro junto ao município, bem como a impressão do Alvará de Funcionamento - Alteração de ATIVIDADE";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 12:47;21/05/2020 12:50;Orientação Técnica Presencial
SC;SC0073825;Orientação sobre empreendedorismo;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 13:15;20/05/2020 13:27;Orientação Técnica Presencial
SC;SC0073848;Contribuinte solicitou sua inscrição estadual. Após os procedimentos junto a SEFAZ SC ficou cadastrado sob o n° 26.050.562-5. Foi gerado também login e senha para emissão de NFE.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 13:35;21/05/2020 14:07;Orientação Técnica Presencial
SC;SC0073912;Contribuinte veio a sala do empreendedor buscando informações referentes as suas guia DAS em aberto desde 2018. Informou que quando efetuou abertura do MEI não foi avisado das guias DAS e da obrigação do seu pagamento. Falou que possui interesse em efetuar o parcelamento das guias em aberto e efetuar a baixa na inscrição do MEI. Ficou de retornar.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 14:09;21/05/2020 14:19;Orientação Técnica Presencial
SC;SC0073918;Realizado emissão dos DAS e entregue Alvará de funcionamento 2020;SC - Atendimento Territorial - Estadual;Orientação;21/05/2020 14:13;21/05/2020 14:19;Orientação Técnica Presencial
SC;SC0073970;Contribuinte solicitou sua inscrição estadual. Após os procedimentos junto a SEFAZ SC ficou cadastrado sob o n° 26.050.919-1. Foi gerado também login e senha para emissão de NFE.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 14:41;21/05/2020 15:31;Orientação Técnica Presencial
SC;SC0073989;Cliente realizou sua formalização juntamente com a Sala do Empreendedor.;SC - Atendimento Territorial - Estadual;Orientação;21/05/2020 14:50;21/05/2020 15:44;Orientação Técnica Presencial
SC;SC0074060;REALIZOU A FORMALIZAÇÃO JUNTO A SALA DO EMPREENDEDOR;SC - Atendimento Territorial - Estadual;Orientação;21/05/2020 15:44;21/05/2020 15:51;Orientação Técnica Presencial
SC;SC0074076;empreendimento registrado;SC - Atendimento Territorial - Estadual;Orientação;21/05/2020 15:51;21/05/2020 15:58;Orientação Técnica Presencial
SC;SC0074093;REALIZADO A FORMALIZAÇÃO DO CLIENTE MEDIANTE A SALA DO EMPREENDEDOR;SC - Atendimento Territorial - Estadual;Orientação;21/05/2020 16:00;21/05/2020 16:10;Orientação Técnica Presencial
SC;SC0074096;at;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 16:03;21/05/2020 17:54;Orientação Técnica Presencial
SC;SC0074106;at;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 16:07;21/05/2020 16:39;Orientação Técnica Presencial
SC;SC0074231;AT;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;21/05/2020 18:28;21/05/2020 18:28;Orientação Técnica Presencial
SC;SC0074253;"PREENCHIMENTO DE FAC DE INCLUSÃO DE ATIVIDADES.
IMPRESSÃO DE ALVARÁ, CARTÃO CNPJ E CERTIFICADO DE MEI.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 06:34;22/05/2020 06:41;Orientação Técnica Presencial
SC;SC0074254;"PREENCHIMENTO DE FAC DE ALTERAÇÃO.
ATUALIZAÇÃO DO ENDEREÇO.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 06:41;22/05/2020 06:47;Orientação Técnica Presencial
SC;SC0074256;DOCUMENTO JUROS ZERO;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 07:15;22/05/2020 07:16;Informação Presencial
SC;SC0074265;Entrada ao processo de viabilidade e exclusão de algumas atividades no CNPJ do cliente.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 08:06;22/05/2020 08:09;Orientação Técnica Presencial
SC;SC0074276;"• Preenchimento da FAC e impressão de documentos para cadastro 
Foram impressos para o contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado o cadastro junto ao município, bem como a impressão do Alvará de Funcionamento. Além da entrega do alvará contribuinte foi informado sobre a necessidade de realizar a declaração anual até maio do ano corrente, da necessidade de emissão de guias no portal do EI (DAS) e que deveria retornar anualmente, no início do ano, na Prefeitura para verificar se a lei de isenção das taxas para EI continua em vigor.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 08:32;22/05/2020 08:33;Orientação Técnica Presencial
SC;SC0074305;"• Preenchimento da FAC e impressão de documentos para cadastro 
Foram impressos para o contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado o cadastro junto ao município, bem como a impressão do Alvará de Funcionamento. Além da entrega do alvará contribuinte foi informado sobre a necessidade de realizar a declaração anual até maio do ano corrente, da necessidade de emissão de guias no portal do EI (DAS) e que deveria retornar anualmente, no início do ano, na Prefeitura para verificar se a lei de isenção das taxas para EI continua em vigor.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 08:56;22/05/2020 09:00;Orientação Técnica Presencial
SC;SC0074327;Baixa em CNPJ.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 09:06;22/05/2020 09:07;Orientação Técnica Presencial
SC;SC0074370;DAS.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 09:30;22/05/2020 09:32;Orientação Técnica Presencial
SC;SC0074421;"• Plantão Fiscal – Emissão Nota Avulsa Autônomo
Emissão de nota avulsa de serviço para profissional autônomo";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 10:04;22/05/2020 10:06;Informação Presencial
SC;SC0074425;Alteração de endereço MEI.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 10:08;22/05/2020 10:10;Orientação Técnica Presencial
SC;SC0074462;Abertura de CNPJ MEI, emissão de guia DAS.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 10:40;22/05/2020 10:42;Orientação Técnica Presencial
SC;SC0074472;"• Plantão Fiscal – Emissão Nota Avulsa Autônomo
Emissão de nota avulsa de serviço para profissional autônomo";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 10:45;22/05/2020 10:46;Informação Presencial
SC;SC0074547;"• Preenchimento do pedido de Viabilidade - Abertura
Além de serem prestados os esclarecimentos sobre os limites/exigências para abertura e as vantagens que possuem os MEI,  foi realizada o protocolo de viabilidade de abertura no sistema REGIN, sendo solicitado ao contribuinte que contato a Sala do Empreendedor em uma semana para verificar seu resultado.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 12:48;22/05/2020 12:49;Orientação Técnica Presencial
SC;SC0074568;at;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 13:33;22/05/2020 13:34;Orientação Técnica Presencial
SC;SC0074583;at;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 13:54;22/05/2020 13:56;Orientação Técnica Presencial
SC;SC0074587;CLIENTE SOLICITOU IMPRESSÃO DE CERTIFICADO DO MEI PARA EMITIR ALVARÁ;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 14:00;22/05/2020 14:02;Informação Presencial
SC;SC0074630;at;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 14:47;22/05/2020 14:48;Orientação Técnica Presencial
SC;SC0074638;Retirada de Documentos;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 14:50;22/05/2020 14:52;Informação Presencial
SC;SC0074652;Retirada de Documentos;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:00;22/05/2020 15:01;Informação Presencial
SC;SC0074658;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:04;22/05/2020 15:04;Informação Presencial
SC;SC0074659;Emissão de Guia;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:05;22/05/2020 15:07;Informação Presencial
SC;SC0074662;Retirada de Documentos;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:10;22/05/2020 15:11;Informação Presencial
SC;SC0074670;Pedido de Alvará de Bombeiros;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:16;22/05/2020 15:17;Informação Presencial
SC;SC0074679;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:19;22/05/2020 15:19;Informação Presencial
SC;SC0074683;Abertura do Mei;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:20;22/05/2020 15:21;Informação Presencial
SC;SC0074689;Pedido de Alvará de Bombeiros;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:24;22/05/2020 15:25;Informação Presencial
SC;SC0074690;Alteração de Dados;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:25;22/05/2020 15:26;Informação Presencial
SC;SC0074695;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:29;22/05/2020 15:29;Informação Presencial
SC;SC0074709;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:36;22/05/2020 15:36;Informação Presencial
SC;SC0074711;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:37;22/05/2020 15:38;Informação Presencial
SC;SC0074720;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:44;22/05/2020 15:44;Informação Presencial
SC;SC0074722;Pedido de Alvará de Bombeiros;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:45;22/05/2020 15:45;Informação Presencial
SC;SC0074724;Retirada de Documentos;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:48;22/05/2020 15:48;Informação Presencial
SC;SC0074726;Emissão de Guia;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:49;22/05/2020 15:51;Informação Presencial
SC;SC0074729;Auxílio no Requerimento de Nota Fiscal;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:52;22/05/2020 15:52;Informação Presencial
SC;SC0074730;Retirada de Documentos;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:53;22/05/2020 15:54;Informação Presencial
SC;SC0074732;at;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:54;22/05/2020 15:54;Orientação Técnica Presencial
SC;SC0074734;at;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:54;22/05/2020 15:55;Orientação Técnica Presencial
SC;SC0074738;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:57;22/05/2020 15:57;Informação Presencial
SC;SC0074741;Retirada de Documentos;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:58;22/05/2020 15:58;Informação Presencial
SC;SC0074744;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 15:59;22/05/2020 16:01;Informação Presencial
SC;SC0074760;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:08;22/05/2020 16:08;Informação Presencial
SC;SC0074763;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:09;22/05/2020 16:10;Informação Presencial
SC;SC0074766;Emissão de Guia;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:10;22/05/2020 16:11;Informação Presencial
SC;SC0074770;Retirada de Documentos;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:13;22/05/2020 16:13;Informação Presencial
SC;SC0074779;Abertura do Mei;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:16;22/05/2020 16:16;Informação Presencial
SC;SC0074783;Abertura do Mei;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:16;22/05/2020 16:17;Informação Presencial
SC;SC0074788;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:19;22/05/2020 16:19;Informação Presencial
SC;SC0074791;Retirada de Documentos;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:20;22/05/2020 16:20;Informação Presencial
SC;SC0074798;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:23;22/05/2020 16:23;Informação Presencial
SC;SC0074801;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:23;22/05/2020 16:24;Informação Presencial
SC;SC0074802;Auxilio na Emissão de Nota Fiscal;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:24;22/05/2020 16:25;Informação Presencial
SC;SC0074804;Declaração Anual;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:25;22/05/2020 16:26;Informação Presencial
SC;SC0074807;Emissão de Guia;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:26;22/05/2020 16:26;Informação Presencial
SC;SC0074814;Viabilidade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;22/05/2020 16:28;22/05/2020 16:29;Informação Presencial
